transaction_id,store_id,checkout_id,nb_items,transaction_duration_sec,nb_cancellations,is_synthetic_fraud,sec_per_item,cancel_ratio,checkout_tx_count,store_tx_count,anomaly_flag,anomaly_score_raw,risk_score
TX_003673,STORE_03,CHK_031,27,236,7,1,8.74074074074074,0.25925925925925924,113,535,1,-0.08451532109791937,77.13
TX_002717,STORE_05,CHK_033,7,163,9,1,23.285714285714285,1.2857142857142858,121,469,1,-0.0839538264437043,77.0
TX_003309,STORE_03,CHK_038,5,196,7,1,39.2,1.4,92,535,1,-0.08178670917380126,76.47
TX_001937,STORE_09,CHK_016,1,80,4,1,80.0,4.0,104,524,1,-0.07978110148620565,75.98
TX_001727,STORE_03,CHK_036,58,224,3,1,3.8620689655172415,0.05172413793103448,109,535,1,-0.07952951454284984,75.92
TX_003498,STORE_10,CHK_032,1,73,4,1,73.0,4.0,111,505,1,-0.07909619412484126,75.82
TX_000232,STORE_09,CHK_020,48,226,5,1,4.708333333333333,0.10416666666666667,94,524,1,-0.07769214479937958,75.48
TX_004856,STORE_05,CHK_026,3,430,2,1,143.33333333333334,0.6666666666666666,103,469,1,-0.07517500135611088,74.87
TX_001849,STORE_09,CHK_040,1,269,1,1,269.0,1.0,114,524,1,-0.07473387560852751,74.76
TX_004382,STORE_05,CHK_037,2,316,2,1,158.0,1.0,99,469,1,-0.0725313213624238,74.22
TX_002989,STORE_02,CHK_027,57,96,7,1,1.6842105263157894,0.12280701754385964,86,490,1,-0.07187992372002172,74.06
TX_004106,STORE_05,CHK_041,1,177,2,0,177.0,2.0,105,469,1,-0.0709240492472607,73.83
TX_003654,STORE_02,CHK_025,46,222,3,1,4.826086956521739,0.06521739130434782,80,490,1,-0.0705602912079919,73.74
TX_004795,STORE_07,CHK_013,51,132,7,1,2.588235294117647,0.13725490196078433,110,492,1,-0.06929880615049788,73.44
TX_002820,STORE_10,CHK_005,50,102,6,1,2.04,0.12,84,505,1,-0.06886587766635022,73.33
TX_004173,STORE_08,CHK_026,2,47,6,1,23.5,3.0,103,509,1,-0.06791286716017719,73.1
TX_000966,STORE_07,CHK_017,4,143,9,1,35.75,2.25,107,492,1,-0.06745118112430137,72.99
TX_004494,STORE_03,CHK_049,6,46,7,1,7.666666666666667,1.1666666666666667,91,535,1,-0.06632821845698689,72.72
TX_004099,STORE_01,CHK_048,53,156,6,1,2.943396226415094,0.11320754716981132,113,509,1,-0.06367877149480783,72.07
TX_001987,STORE_07,CHK_007,56,113,7,1,2.017857142857143,0.125,95,492,1,-0.06353429863091997,72.04
TX_002688,STORE_09,CHK_042,56,228,3,1,4.071428571428571,0.05357142857142857,95,524,1,-0.06342505894840844,72.01
TX_002216,STORE_05,CHK_015,47,115,7,1,2.4468085106382977,0.14893617021276595,104,469,1,-0.0632603293324101,71.97
TX_000373,STORE_01,CHK_029,2,443,1,1,221.5,0.5,90,509,1,-0.06300967010139191,71.91
TX_002115,STORE_09,CHK_018,4,169,7,1,42.25,1.75,97,524,1,-0.06243680102102711,71.77
TX_002840,STORE_03,CHK_032,12,155,9,1,12.916666666666666,0.75,111,535,1,-0.061164115298945165,71.46
TX_002331,STORE_03,CHK_016,5,100,8,1,20.0,1.6,104,535,1,-0.06096188567815175,71.41
TX_000751,STORE_01,CHK_034,2,424,1,1,212.0,0.5,89,509,1,-0.060398050666709224,71.28
TX_001774,STORE_02,CHK_002,4,367,4,1,91.75,1.0,105,490,1,-0.059301495313334174,71.01
TX_003464,STORE_07,CHK_049,55,134,6,1,2.4363636363636365,0.10909090909090909,91,492,1,-0.057111498497407154,70.48
TX_000988,STORE_05,CHK_042,8,150,9,1,18.75,1.125,95,469,1,-0.05685876119564237,70.42
TX_004780,STORE_08,CHK_033,10,145,9,1,14.5,0.9,121,509,1,-0.05675735716852759,70.39
TX_001516,STORE_09,CHK_031,25,216,6,1,8.64,0.24,113,524,1,-0.05605726232425634,70.22
TX_004061,STORE_10,CHK_045,4,412,3,1,103.0,0.75,91,505,1,-0.05589578699125686,70.18
TX_004043,STORE_03,CHK_008,11,125,8,1,11.363636363636363,0.7272727272727273,85,535,1,-0.055261812067738614,70.03
TX_002091,STORE_09,CHK_019,1,27,3,0,27.0,3.0,90,524,1,-0.055112063033681546,69.99
TX_001176,STORE_07,CHK_038,7,23,9,1,3.2857142857142856,1.2857142857142858,92,492,1,-0.053022538820710174,69.48
TX_004861,STORE_09,CHK_011,19,169,9,1,8.894736842105264,0.47368421052631576,111,524,1,-0.052848339300221814,69.44
TX_004186,STORE_01,CHK_022,38,190,7,1,5.0,0.18421052631578946,106,509,1,-0.05270743969870062,69.41
TX_003197,STORE_01,CHK_030,1,147,2,0,147.0,2.0,84,509,1,-0.05207789727850198,69.25
TX_004201,STORE_01,CHK_030,43,128,6,1,2.9767441860465116,0.13953488372093023,84,509,1,-0.051448902935965934,69.1
TX_001763,STORE_10,CHK_012,10,179,9,1,17.9,0.9,87,505,1,-0.051281583617693194,69.06
TX_003667,STORE_10,CHK_008,10,248,6,1,24.8,0.6,85,505,1,-0.050748786570634974,68.93
TX_002621,STORE_04,CHK_047,1,68,3,0,68.0,3.0,95,478,1,-0.049661178891168056,68.67
TX_004564,STORE_09,CHK_039,1,106,3,0,106.0,3.0,103,524,1,-0.04915294055290198,68.54
TX_000359,STORE_03,CHK_023,3,357,2,1,119.0,0.6666666666666666,98,535,1,-0.04832490124969491,68.34
TX_003465,STORE_06,CHK_033,30,219,4,1,7.3,0.13333333333333333,121,489,1,-0.0472570731133638,68.08
TX_002680,STORE_05,CHK_002,1,138,2,0,138.0,2.0,105,469,1,-0.045873993501642674,67.75
TX_003075,STORE_07,CHK_004,2,34,5,1,17.0,2.5,95,492,1,-0.04501643436218972,67.54
TX_000244,STORE_10,CHK_044,7,88,7,1,12.571428571428571,1.0,125,505,1,-0.04489552962644294,67.51
TX_002617,STORE_09,CHK_013,2,340,1,1,170.0,0.5,110,524,1,-0.04469657806488381,67.46
TX_001427,STORE_07,CHK_048,52,83,6,1,1.5961538461538463,0.11538461538461539,113,492,1,-0.043319441757456056,67.13
TX_003948,STORE_03,CHK_001,1,162,1,0,162.0,1.0,116,535,1,-0.04234850981439986,66.89
TX_002386,STORE_03,CHK_005,4,63,5,1,15.75,1.25,84,535,1,-0.0419275177999342,66.79
TX_003766,STORE_03,CHK_005,1,163,1,0,163.0,1.0,84,535,1,-0.04172214212901937,66.74
TX_004532,STORE_08,CHK_008,36,200,4,1,5.555555555555555,0.1111111111111111,85,509,1,-0.040818874792848625,66.52
TX_000466,STORE_01,CHK_014,1,119,3,0,119.0,3.0,103,509,1,-0.039319083941340094,66.15
TX_002935,STORE_09,CHK_005,1,120,2,0,120.0,2.0,84,524,1,-0.03898451984833029,66.07
TX_004347,STORE_04,CHK_002,59,127,4,1,2.152542372881356,0.06779661016949153,105,478,1,-0.03804290293029755,65.84
TX_003113,STORE_04,CHK_015,58,189,2,1,3.2586206896551726,0.034482758620689655,104,478,1,-0.03611844463327185,65.38
TX_002286,STORE_03,CHK_047,34,219,3,1,6.4411764705882355,0.08823529411764706,95,535,1,-0.03592444513679538,65.33
TX_002001,STORE_03,CHK_004,1,126,2,0,126.0,2.0,95,535,1,-0.03570559441995014,65.28
TX_000277,STORE_01,CHK_044,2,15,3,0,7.5,1.5,125,509,1,-0.03568517125591819,65.27
TX_001711,STORE_03,CHK_036,1,116,2,0,116.0,2.0,109,535,1,-0.035518259014083675,65.23
TX_003408,STORE_03,CHK_011,1,163,1,0,163.0,1.0,111,535,1,-0.03532751515662835,65.18
TX_002831,STORE_09,CHK_049,39,219,3,1,5.615384615384615,0.07692307692307693,91,524,1,-0.034100346975586504,64.89
TX_004579,STORE_05,CHK_020,1,119,2,0,119.0,2.0,94,469,1,-0.03392718651500337,64.84
TX_004464,STORE_04,CHK_033,1,143,1,0,143.0,1.0,121,478,1,-0.03275726833378212,64.56
TX_003389,STORE_07,CHK_048,48,223,2,1,4.645833333333333,0.041666666666666664,113,492,1,-0.03277149401219459,64.56
TX_001490,STORE_10,CHK_018,2,145,4,1,72.5,2.0,97,505,1,-0.032326781320821674,64.46
TX_001251,STORE_01,CHK_045,3,438,1,1,146.0,0.3333333333333333,91,509,1,-0.031275365791767595,64.2
TX_002762,STORE_04,CHK_006,1,133,2,0,133.0,2.0,102,478,1,-0.030611428125941087,64.04
TX_000626,STORE_07,CHK_036,1,139,2,0,139.0,2.0,109,492,1,-0.029759783167633613,63.83
TX_002948,STORE_03,CHK_026,45,190,2,1,4.222222222222222,0.044444444444444446,103,535,1,-0.028182195744776095,63.45
TX_002602,STORE_02,CHK_012,1,175,1,0,175.0,1.0,87,490,1,-0.026342164117518885,63.0
TX_002487,STORE_04,CHK_001,1,38,2,0,38.0,2.0,116,478,1,-0.025668958602330094,62.84
TX_004923,STORE_06,CHK_002,2,318,1,1,159.0,0.5,105,489,1,-0.024630053291342824,62.59
TX_001575,STORE_08,CHK_033,1,92,2,0,92.0,2.0,121,509,1,-0.02419440837195097,62.48
TX_004157,STORE_03,CHK_018,1,111,2,0,111.0,2.0,97,535,1,-0.023765568002573345,62.38
TX_005000,STORE_09,CHK_033,10,101,6,1,10.1,0.6,121,524,1,-0.023036050271666553,62.2
TX_002708,STORE_02,CHK_029,1,123,2,0,123.0,2.0,90,490,1,-0.02243657647090269,62.05
TX_000739,STORE_08,CHK_002,8,152,8,1,19.0,1.0,105,509,1,-0.02142608806795543,61.81
TX_001183,STORE_06,CHK_041,9,114,9,1,12.666666666666666,1.0,105,489,1,-0.020691440329068223,61.63
TX_001923,STORE_06,CHK_013,31,81,7,1,2.6129032258064515,0.22580645161290322,110,489,1,-0.019206957473006492,61.27
TX_001801,STORE_10,CHK_007,1,134,2,0,134.0,2.0,95,505,1,-0.01815493870726903,61.01
TX_000419,STORE_01,CHK_004,26,167,7,1,6.423076923076923,0.2692307692307692,95,509,1,-0.01810756619788778,61.0
TX_003470,STORE_04,CHK_006,1,118,2,0,118.0,2.0,102,478,1,-0.01695280877858374,60.72
TX_001250,STORE_09,CHK_044,1,15,1,0,15.0,1.0,125,524,1,-0.0158188672158186,60.44
TX_000771,STORE_04,CHK_004,25,207,5,1,8.28,0.2,95,478,1,-0.015134881192532146,60.28
TX_002374,STORE_06,CHK_039,33,207,4,1,6.2727272727272725,0.12121212121212122,103,489,1,-0.013522953579088726,59.89
TX_000434,STORE_09,CHK_036,1,71,2,0,71.0,2.0,109,524,1,-0.012840650769230355,59.72
TX_000425,STORE_05,CHK_035,4,133,4,1,33.25,1.0,114,469,1,-0.012378091221380894,59.61
TX_004868,STORE_06,CHK_030,32,221,2,1,6.90625,0.0625,84,489,1,-0.012337004811045493,59.6
TX_000691,STORE_02,CHK_006,15,110,9,1,7.333333333333333,0.6,102,490,1,-0.01174858460901207,59.46
TX_004316,STORE_05,CHK_028,47,167,2,1,3.5531914893617023,0.0425531914893617,102,469,1,-0.011510183276039365,59.4
TX_000795,STORE_04,CHK_033,1,123,1,0,123.0,1.0,121,478,1,-0.011081829162744694,59.29
TX_003588,STORE_05,CHK_003,1,143,1,0,143.0,1.0,97,469,1,-0.010118279317512191,59.06
TX_000076,STORE_05,CHK_008,8,163,4,1,20.375,0.5,85,469,1,-0.009539362890273018,58.92
TX_000072,STORE_09,CHK_032,1,146,1,0,146.0,1.0,111,524,1,-0.009489538789640983,58.91
TX_003249,STORE_01,CHK_024,10,111,8,1,11.1,0.8,92,509,1,-0.009517805090861087,58.91
TX_001691,STORE_10,CHK_028,27,226,4,1,8.37037037037037,0.14814814814814814,102,505,1,-0.008514292134193524,58.67
TX_003423,STORE_10,CHK_031,1,160,1,0,160.0,1.0,113,505,1,-0.008296192535248492,58.62
TX_003727,STORE_01,CHK_028,1,131,2,0,131.0,2.0,102,509,1,-0.007232040360074077,58.36
TX_001585,STORE_01,CHK_035,8,155,6,1,19.375,0.75,114,509,1,-0.007041799243204028,58.31
TX_003450,STORE_02,CHK_003,49,160,3,1,3.2653061224489797,0.061224489795918366,97,490,1,-0.005911474532984795,58.04
TX_004846,STORE_07,CHK_003,7,112,7,1,16.0,1.0,97,492,1,-0.004818135016048997,57.77
TX_001372,STORE_03,CHK_014,2,82,3,0,41.0,1.5,103,535,1,-0.004056574430538418,57.59
TX_003283,STORE_09,CHK_006,17,135,7,1,7.9411764705882355,0.4117647058823529,102,524,1,-0.0037623349207739354,57.52
TX_001031,STORE_06,CHK_013,1,91,2,0,91.0,2.0,110,489,1,-0.0027787348253512922,57.28
TX_004298,STORE_03,CHK_018,53,124,2,1,2.339622641509434,0.03773584905660377,97,535,1,-0.002312479470183093,57.16
TX_003869,STORE_07,CHK_049,1,83,2,0,83.0,2.0,91,492,1,-0.0010030506879729062,56.85
TX_000735,STORE_04,CHK_044,4,56,3,0,14.0,0.75,125,478,1,-0.0008724651474304457,56.81
TX_004444,STORE_01,CHK_044,7,51,4,1,7.285714285714286,0.5714285714285714,125,509,1,-0.00027439917481986154,56.67
TX_000803,STORE_09,CHK_044,1,139,0,0,139.0,0.0,125,524,0,8.486572417143456e-06,56.6
TX_000162,STORE_03,CHK_013,7,86,5,0,12.285714285714286,0.7142857142857143,110,535,0,0.00038080908616600073,56.51
TX_004323,STORE_03,CHK_027,25,27,2,1,1.08,0.08,86,535,0,0.0012257480232134021,56.3
TX_003866,STORE_02,CHK_035,1,75,2,0,75.0,2.0,114,490,0,0.0012511232905031422,56.3
TX_002098,STORE_08,CHK_019,25,191,4,1,7.64,0.16,90,509,0,0.0023173767092188324,56.04
TX_002895,STORE_05,CHK_025,1,122,0,0,122.0,0.0,80,469,0,0.002480626634794536,56.0
TX_004640,STORE_02,CHK_015,36,208,3,1,5.777777777777778,0.08333333333333333,104,490,0,0.002622541548937818,55.96
TX_004118,STORE_06,CHK_044,1,103,1,0,103.0,1.0,125,489,0,0.0026527636667303955,55.96
TX_001072,STORE_10,CHK_043,9,78,7,1,8.666666666666666,0.7777777777777778,98,505,0,0.0026853993469251325,55.95
TX_003385,STORE_06,CHK_044,10,159,4,1,15.9,0.4,125,489,0,0.003128387758214779,55.84
TX_003592,STORE_10,CHK_047,1,98,2,0,98.0,2.0,95,505,0,0.0036127477155922794,55.72
TX_002056,STORE_01,CHK_006,1,117,2,0,117.0,2.0,102,509,0,0.003810525141048071,55.68
TX_003489,STORE_10,CHK_044,1,114,1,0,114.0,1.0,125,505,0,0.0037851446943392153,55.68
TX_001030,STORE_07,CHK_028,1,114,2,0,114.0,2.0,102,492,0,0.005378237016618215,55.29
TX_001500,STORE_07,CHK_009,1,107,2,0,107.0,2.0,98,492,0,0.005494601612897276,55.27
TX_001448,STORE_03,CHK_030,1,77,1,0,77.0,1.0,84,535,0,0.005593595002110985,55.24
TX_000463,STORE_08,CHK_046,1,111,2,0,111.0,2.0,104,509,0,0.007065970575874436,54.88
TX_000954,STORE_04,CHK_004,1,137,1,0,137.0,1.0,95,478,0,0.007080352657994449,54.88
TX_000825,STORE_01,CHK_035,9,93,6,1,10.333333333333334,0.6666666666666666,114,509,0,0.0071606495086528055,54.86
TX_001840,STORE_07,CHK_029,1,150,1,0,150.0,1.0,90,492,0,0.007536324702421826,54.77
TX_001877,STORE_03,CHK_046,1,126,1,0,126.0,1.0,104,535,0,0.007870286232150914,54.69
TX_000678,STORE_02,CHK_001,4,141,4,1,35.25,1.0,116,490,0,0.007971963088982403,54.66
TX_002558,STORE_05,CHK_005,1,54,1,0,54.0,1.0,84,469,0,0.009271187863311936,54.35
TX_001725,STORE_06,CHK_004,2,135,3,0,67.5,1.5,95,489,0,0.009930608311175537,54.19
TX_002910,STORE_03,CHK_033,2,179,0,0,89.5,0.0,121,535,0,0.010460792436720934,54.06
TX_002673,STORE_09,CHK_005,25,24,2,1,0.96,0.08,84,524,0,0.01056922162687679,54.03
TX_001751,STORE_07,CHK_032,25,175,4,1,7.0,0.16,111,492,0,0.010666696483212834,54.01
TX_003847,STORE_01,CHK_044,1,106,1,0,106.0,1.0,125,509,0,0.010967278321733165,53.94
TX_004982,STORE_09,CHK_022,1,141,1,0,141.0,1.0,106,524,0,0.011045260418179992,53.92
TX_003141,STORE_06,CHK_026,10,127,7,1,12.7,0.7,103,489,0,0.011212510067939552,53.88
TX_003240,STORE_05,CHK_041,5,62,4,1,12.4,0.8,105,469,0,0.012147293585176966,53.65
TX_004446,STORE_08,CHK_040,1,140,1,0,140.0,1.0,114,509,0,0.01235686256697821,53.6
TX_001755,STORE_05,CHK_001,2,113,2,0,56.5,1.0,116,469,0,0.012417160756511114,53.58
TX_000222,STORE_01,CHK_006,1,48,2,0,48.0,2.0,102,509,0,0.01333112407701964,53.36
TX_002628,STORE_08,CHK_048,1,182,0,0,182.0,0.0,113,509,0,0.013990209820175958,53.2
TX_004411,STORE_01,CHK_039,6,172,5,1,28.666666666666668,0.8333333333333334,103,509,0,0.014033012899667185,53.19
TX_004465,STORE_02,CHK_044,7,75,4,1,10.714285714285714,0.5714285714285714,125,490,0,0.014789375227728163,53.01
TX_000660,STORE_05,CHK_002,1,120,1,0,120.0,1.0,105,469,0,0.015506543312953314,52.83
TX_001906,STORE_07,CHK_044,1,44,1,0,44.0,1.0,125,492,0,0.01589269278059513,52.74
TX_001944,STORE_04,CHK_024,1,119,1,0,119.0,1.0,92,478,0,0.016882028940699456,52.5
TX_003957,STORE_09,CHK_012,1,102,1,0,102.0,1.0,87,524,0,0.017615665445945505,52.32
TX_000860,STORE_01,CHK_035,29,211,2,1,7.275862068965517,0.06896551724137931,114,509,0,0.01862798295021517,52.08
TX_001746,STORE_04,CHK_034,1,94,1,0,94.0,1.0,89,478,0,0.018735420344585196,52.05
TX_003460,STORE_03,CHK_043,1,118,1,0,118.0,1.0,98,535,0,0.018955301519396395,52.0
TX_001638,STORE_05,CHK_046,1,155,0,0,155.0,0.0,104,469,0,0.019385707275265007,51.89
TX_002800,STORE_08,CHK_032,4,262,2,1,65.5,0.5,111,509,0,0.02041453702705709,51.64
TX_004582,STORE_05,CHK_049,1,76,1,0,76.0,1.0,91,469,0,0.020627834867878114,51.59
TX_003970,STORE_08,CHK_019,4,362,1,1,90.5,0.25,90,509,0,0.020736508656015173,51.56
TX_004389,STORE_01,CHK_012,1,163,0,0,163.0,0.0,87,509,0,0.02075990008733619,51.56
TX_000921,STORE_07,CHK_033,1,15,1,0,15.0,1.0,121,492,0,0.020891522206980984,51.53
TX_002618,STORE_10,CHK_042,1,184,0,0,184.0,0.0,95,505,0,0.02138790553522041,51.41
TX_002702,STORE_05,CHK_019,1,57,1,0,57.0,1.0,90,469,0,0.021548043050443777,51.37
TX_001014,STORE_06,CHK_019,27,182,3,1,6.7407407407407405,0.1111111111111111,90,489,0,0.021702533903111387,51.33
TX_004727,STORE_01,CHK_025,1,78,1,0,78.0,1.0,80,509,0,0.021948466061248784,51.27
TX_003996,STORE_03,CHK_031,2,67,2,0,33.5,1.0,113,535,0,0.022046317308503594,51.25
TX_004310,STORE_02,CHK_033,1,85,1,0,85.0,1.0,121,490,0,0.022174307653919034,51.21
TX_004001,STORE_04,CHK_001,1,78,1,0,78.0,1.0,116,478,0,0.022273811994836246,51.19
TX_004164,STORE_01,CHK_044,1,77,1,0,77.0,1.0,125,509,0,0.022414611687431862,51.16
TX_001817,STORE_10,CHK_018,1,150,1,0,150.0,1.0,97,505,0,0.023073602746929378,51.0
TX_002957,STORE_05,CHK_017,26,22,2,1,0.8461538461538461,0.07692307692307693,107,469,0,0.023152654642204173,50.98
TX_004525,STORE_06,CHK_025,1,33,1,0,33.0,1.0,80,489,0,0.023336742770015295,50.93
TX_004646,STORE_03,CHK_018,1,111,1,0,111.0,1.0,97,535,0,0.023684091882375635,50.85
TX_003252,STORE_03,CHK_024,1,66,1,0,66.0,1.0,92,535,0,0.02393830105845063,50.79
TX_001175,STORE_03,CHK_031,5,151,3,0,30.2,0.6,113,535,0,0.024103136835311956,50.75
TX_003064,STORE_03,CHK_013,1,57,1,0,57.0,1.0,110,535,0,0.02431794448105873,50.69
TX_003702,STORE_05,CHK_017,1,84,1,0,84.0,1.0,107,469,0,0.024998989524958826,50.53
TX_004357,STORE_03,CHK_036,15,53,4,0,3.533333333333333,0.26666666666666666,109,535,0,0.025150519519688497,50.49
TX_000491,STORE_01,CHK_037,2,53,3,0,26.5,1.5,99,509,0,0.02566227732770776,50.37
TX_003844,STORE_05,CHK_019,1,53,1,0,53.0,1.0,90,469,0,0.025810668263850922,50.33
TX_000276,STORE_09,CHK_019,1,97,1,0,97.0,1.0,90,524,0,0.025813876169219152,50.33
TX_001747,STORE_04,CHK_011,26,167,3,1,6.423076923076923,0.11538461538461539,111,478,0,0.026133855320323196,50.25
TX_002835,STORE_03,CHK_025,7,60,3,0,8.571428571428571,0.42857142857142855,80,535,0,0.026254409173538384,50.22
TX_001354,STORE_01,CHK_001,37,102,3,1,2.7567567567567566,0.08108108108108109,116,509,0,0.02679768715291564,50.09
TX_002202,STORE_09,CHK_048,1,92,1,0,92.0,1.0,113,524,0,0.027431018771265858,49.94
TX_004105,STORE_05,CHK_025,18,56,2,0,3.111111111111111,0.1111111111111111,80,469,0,0.02814940517079212,49.76
TX_003773,STORE_02,CHK_027,1,93,1,0,93.0,1.0,86,490,0,0.028461253192092806,49.69
TX_001028,STORE_10,CHK_018,1,143,1,0,143.0,1.0,97,505,0,0.028484567155490526,49.68
TX_002974,STORE_03,CHK_046,1,92,1,0,92.0,1.0,104,535,0,0.028857169721814957,49.59
TX_001666,STORE_09,CHK_031,1,87,1,0,87.0,1.0,113,524,0,0.029343253409312098,49.47
TX_000704,STORE_09,CHK_044,6,103,3,0,17.166666666666668,0.5,125,524,0,0.03058048274073677,49.17
TX_004542,STORE_02,CHK_020,8,50,5,1,6.25,0.625,94,490,0,0.03153440867227042,48.94
TX_002031,STORE_05,CHK_023,1,75,1,0,75.0,1.0,98,469,0,0.031685255119026645,48.9
TX_000112,STORE_09,CHK_024,1,108,1,0,108.0,1.0,92,524,0,0.03179837845922073,48.88
TX_000038,STORE_10,CHK_039,6,133,5,1,22.166666666666668,0.8333333333333334,103,505,0,0.03198761552135565,48.83
TX_000121,STORE_09,CHK_036,1,95,1,0,95.0,1.0,109,524,0,0.032170549248688673,48.79
TX_002575,STORE_10,CHK_005,1,15,1,0,15.0,1.0,84,505,0,0.033608343478012004,48.44
TX_004311,STORE_09,CHK_044,9,15,2,0,1.6666666666666667,0.2222222222222222,125,524,0,0.033723064716555395,48.41
TX_001718,STORE_04,CHK_048,1,81,1,0,81.0,1.0,113,478,0,0.03375665164942088,48.4
TX_004630,STORE_04,CHK_029,3,92,3,0,30.666666666666668,1.0,90,478,0,0.03380154752305509,48.39
TX_002616,STORE_09,CHK_031,1,55,1,0,55.0,1.0,113,524,0,0.03404752262431654,48.33
TX_002589,STORE_03,CHK_050,1,55,1,0,55.0,1.0,102,535,0,0.03404958751678089,48.33
TX_000693,STORE_03,CHK_002,1,53,1,0,53.0,1.0,105,535,0,0.034211431643507595,48.29
TX_000683,STORE_09,CHK_047,1,112,1,0,112.0,1.0,95,524,0,0.034750569449052526,48.16
TX_004053,STORE_08,CHK_029,1,125,1,0,125.0,1.0,90,509,0,0.03528975878562479,48.03
TX_001018,STORE_09,CHK_046,1,111,1,0,111.0,1.0,104,524,0,0.03566545175179381,47.94
TX_004743,STORE_05,CHK_040,26,26,0,1,1.0,0.0,114,469,0,0.03585871598047308,47.89
